"created_at","entity_type","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-05-06T12:21:51.989Z","Url","TLP:CLEAR","https://hero-thunder-ef0c.lexiegamboa.workers.dev/c048312f-21e0-4f47-8226-cc5bb0a54e56","2024-05-06T12:21:52.064Z","https://hero-thunder-ef0c.lexiegamboa.workers.dev/c048312f-21e0-4f47-8226-cc5bb0a54e56","OpenPhish URL",""
"2024-05-06T12:21:52.508Z","Url","TLP:CLEAR","https://outlooklihow-fbed.36892165b3ac94.workers.dev/","2024-05-06T12:21:52.740Z","https://outlooklihow-fbed.36892165b3ac94.workers.dev/","OpenPhish URL",""
"2024-05-06T12:21:52.816Z","Url","TLP:CLEAR","https://eddyjtvfpavz.pages.dev/smart89/","2024-05-06T12:21:52.871Z","https://eddyjtvfpavz.pages.dev/smart89/","OpenPhish URL",""
"2024-05-06T12:21:52.887Z","Url","TLP:CLEAR","https://bt-108878.weeblysite.com/","2024-05-06T12:21:52.932Z","https://bt-108878.weeblysite.com/","OpenPhish URL",""
"2024-05-06T12:21:52.901Z","Url","TLP:CLEAR","https://telstra-103121.weeblysite.com/","2024-05-06T12:21:52.944Z","https://telstra-103121.weeblysite.com/","OpenPhish URL",""
"2024-05-06T12:21:53.192Z","Url","TLP:CLEAR","https://8cvth-htlbps-stwr-099rt.glitch.me/","2024-05-06T12:21:53.359Z","https://8cvth-htlbps-stwr-099rt.glitch.me/","OpenPhish URL",""
"2024-05-06T12:21:53.193Z","Url","TLP:CLEAR","https://telstra-105278.weeblysite.com/","2024-05-06T12:21:53.377Z","https://telstra-105278.weeblysite.com/","OpenPhish URL",""
"2024-05-06T12:21:53.343Z","Url","TLP:CLEAR","https://amoredod.ignorelist.com/","2024-05-06T12:21:53.399Z","https://amoredod.ignorelist.com/","OpenPhish URL",""
"2024-05-06T12:21:53.769Z","Url","TLP:CLEAR","https://avresthq.pages.dev/","2024-05-06T12:21:53.863Z","https://avresthq.pages.dev/","OpenPhish URL",""
"2024-05-06T12:21:53.852Z","Url","TLP:CLEAR","https://clouddd-1d8c.eleutamdcdla.workers.dev/eb1f3592-8874-4ab2-9939-7cae110dd01c","2024-05-06T12:21:53.900Z","https://clouddd-1d8c.eleutamdcdla.workers.dev/eb1f3592-8874-4ab2-9939-7cae110dd01c","OpenPhish URL",""
"2024-05-06T12:21:53.852Z","Url","TLP:CLEAR","https://webmail-103190.weeblysite.com/","2024-05-06T12:21:53.930Z","https://webmail-103190.weeblysite.com/","OpenPhish URL",""
"2024-05-06T12:21:54.288Z","Url","TLP:CLEAR","https://web00-po.pages.dev/","2024-05-06T12:21:54.428Z","https://web00-po.pages.dev/","OpenPhish URL",""
"2024-05-06T12:21:54.392Z","Url","TLP:CLEAR","https://attcom-105831.weeblysite.com/","2024-05-06T12:21:54.475Z","https://attcom-105831.weeblysite.com/","OpenPhish URL",""
"2024-05-06T12:21:54.409Z","Url","TLP:CLEAR","https://bafybeickxpkfpkpnfn6hjlyzv6xmtu53fkulzfczouh7mc5hga2lguncvy.ipfs.cf-ipfs.com/","2024-05-06T12:21:54.503Z","https://bafybeickxpkfpkpnfn6hjlyzv6xmtu53fkulzfczouh7mc5hga2lguncvy.ipfs.cf-ipfs.com/","OpenPhish URL",""
"2024-05-06T12:21:54.751Z","Url","TLP:CLEAR","https://small-art-19eb.casteolpopo.workers.dev/","2024-05-06T12:21:55.315Z","https://small-art-19eb.casteolpopo.workers.dev/","OpenPhish URL",""
"2024-05-06T12:21:54.758Z","Url","TLP:CLEAR","https://048818.com/","2024-05-06T12:21:55.327Z","https://048818.com/","OpenPhish URL",""
"2024-05-06T12:21:55.263Z","Url","TLP:CLEAR","https://fibercom-laboratory.com/","2024-05-06T12:21:55.356Z","https://fibercom-laboratory.com/","OpenPhish URL",""
