domain,score,description
8141f395800cc77b424d81dc74c45e08.modisal.pl,,Phishingarmy URL
814101weryfikacja-weryfikacja.jdhs.pl,,Phishingarmy URL
814129kodsms-aktualizacja.jdhs.pl,,Phishingarmy URL
813zawiadomienie.site,,Phishingarmy URL
813a3b9b9dc923b0eba3d2df10d48473.sxlr.pl,,Phishingarmy URL
81294fa428abde7b02c0be3effd16ab5.psdora.pl,,Phishingarmy URL
811657kodem-potwierdz.ernies.pl,,Phishingarmy URL
811448f08b4.chefs-kitchen.co.uk,,Phishingarmy URL
811439kodsms-logowanie.malenst.pl,,Phishingarmy URL
80y.m9rx.icu,,Phishingarmy URL
80w19v.cn,,Phishingarmy URL
80startups.com,,Phishingarmy URL
80qu.cfd,,Phishingarmy URL
80q8nder7.site,,Phishingarmy URL
80isio8ary0or.site,,Phishingarmy URL
80dd9b04d11c5d32414179d1a50dd961.nmdj.pl,,Phishingarmy URL
80i.9iyq.icu,,Phishingarmy URL
80daeeb033de509998fb9045245f9c38.serswise.pl,,Phishingarmy URL
80d5f77cc13965fe8cf45bf6c53736a2.owps.pl,,Phishingarmy URL
80da232c444aedac5447a2d761a6aab2.danielbrunon.pl,,Phishingarmy URL
80d07f4380c103603765d1fe9795ae4a.rtosa.pl,,Phishingarmy URL
80d.mse7.top,,Phishingarmy URL
80c7ffbf334f24a6c3f0323e9a2897d0.wurp.pl,,Phishingarmy URL
80c03e677572ebdbef27f304529d986f.ewelinsta.pl,,Phishingarmy URL
80b1d3a6e203abeaf18f259303aeccc4.twojedom.pl,,Phishingarmy URL
809c25784ff689dbed16b3049c6ab95c.owps.pl,,Phishingarmy URL
808f6730.kortfilmfestivalen.no,,Phishingarmy URL
8087d44c7cf57ef10619b47547622b07.nyoh.pl,,Phishingarmy URL
808397kodsms-dalej.jdhs.pl,,Phishingarmy URL
8080.sxforge.com,,Phishingarmy URL
805taylor.com,,Phishingarmy URL
805k0t1kpgescmmnty.work.gd,,Phishingarmy URL
805.804515152.pw,,Phishingarmy URL
804fd.cc,,Phishingarmy URL
804521.pl16.com,,Phishingarmy URL
803bdaa6eefef4e71e5f8b2eaba0554d.weklogr.pl,,Phishingarmy URL
8039a32b2536c410f052.tlsens.pl,,Phishingarmy URL
8021910668ac09f325e3f1eac8f6c2f9.nitwos.pl,,Phishingarmy URL
