"created_at","entity_type","objectLabel","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-10-30T13:05:22.538Z","Domain-Name","phishing","TLP:CLEAR","anpostsae.top","2024-10-30T13:05:22.752Z","anpostsae.top","Phishingarmy URL",""
"2024-10-30T13:05:22.951Z","Domain-Name","phishing","TLP:CLEAR","aswed.top","2024-10-30T13:05:22.988Z","aswed.top","Phishingarmy URL",""
"2024-10-30T13:05:22.972Z","Domain-Name","phishing","TLP:CLEAR","assurancemaladie-renouv.info","2024-10-30T13:05:23.036Z","assurancemaladie-renouv.info","Phishingarmy URL",""
"2024-10-30T13:05:23.720Z","Domain-Name","phishing","TLP:CLEAR","atmpolnt.top","2024-10-30T13:05:23.799Z","atmpolnt.top","Phishingarmy URL",""
"2024-10-30T13:05:24.469Z","Domain-Name","phishing","TLP:CLEAR","aupostsaau.top","2024-10-30T13:05:24.502Z","aupostsaau.top","Phishingarmy URL",""
"2024-10-30T13:05:24.469Z","Domain-Name","phishing","TLP:CLEAR","atnpolnt.top","2024-10-30T13:05:24.503Z","atnpolnt.top","Phishingarmy URL",""
"2024-10-30T13:05:24.929Z","Domain-Name","phishing","TLP:CLEAR","ausposto.cyou","2024-10-30T13:05:25.157Z","ausposto.cyou","Phishingarmy URL",""
"2024-10-30T13:05:25.368Z","Domain-Name","phishing","TLP:CLEAR","auth-hub.ru","2024-10-30T13:05:25.443Z","auth-hub.ru","Phishingarmy URL",""
"2024-10-30T13:05:25.730Z","Domain-Name","phishing","TLP:CLEAR","automationdata.cfd","2024-10-30T13:05:26.099Z","automationdata.cfd","Phishingarmy URL",""
"2024-10-30T13:05:25.730Z","Domain-Name","phishing","TLP:CLEAR","avista-psych.org","2024-10-30T13:05:26.195Z","avista-psych.org","Phishingarmy URL",""
"2024-10-30T13:05:27.000Z","Domain-Name","phishing","TLP:CLEAR","awsmblog.biz.id","2024-10-30T13:05:27.063Z","awsmblog.biz.id","Phishingarmy URL",""
"2024-10-30T13:05:27.818Z","Domain-Name","phishing","TLP:CLEAR","bafkreifpamauvlelmxyk5k2ngydjr2lu3adbndaip3rmnh7ziath7gqth4.ipfs.flk-ipfs.xyz","2024-10-30T13:05:27.883Z","bafkreifpamauvlelmxyk5k2ngydjr2lu3adbndaip3rmnh7ziath7gqth4.ipfs.flk-ipfs.xyz","Phishingarmy URL",""
"2024-10-30T13:05:27.819Z","Domain-Name","phishing","TLP:CLEAR","bafkreib5e3f65bywjtxjpgvmuxzlvrfyniaw2xnw5dzpmwbghtb3dl52ci.ipfs.flk-ipfs.xyz","2024-10-30T13:05:27.919Z","bafkreib5e3f65bywjtxjpgvmuxzlvrfyniaw2xnw5dzpmwbghtb3dl52ci.ipfs.flk-ipfs.xyz","Phishingarmy URL",""
"2024-10-30T13:05:28.621Z","Domain-Name","phishing","TLP:CLEAR","bafybeia6yihocgmq2y3kif665r5jyj6g66qcuu6cobdzyzojunykli76ei.ipfs.w3s.link","2024-10-30T13:05:28.649Z","bafybeia6yihocgmq2y3kif665r5jyj6g66qcuu6cobdzyzojunykli76ei.ipfs.w3s.link","Phishingarmy URL",""
"2024-10-30T13:05:28.711Z","Domain-Name","phishing","TLP:CLEAR","baiidua.top","2024-10-30T13:05:28.965Z","baiidua.top","Phishingarmy URL",""
"2024-10-30T13:05:28.711Z","Domain-Name","phishing","TLP:CLEAR","bandit4d-scater.com","2024-10-30T13:05:28.965Z","bandit4d-scater.com","Phishingarmy URL",""
"2024-10-30T13:05:30.016Z","Domain-Name","phishing","TLP:CLEAR","bitlea.top","2024-10-30T13:05:30.109Z","bitlea.top","Phishingarmy URL",""
"2024-10-30T13:05:30.017Z","Domain-Name","phishing","TLP:CLEAR","bitpropulsehub.com","2024-10-30T13:05:30.127Z","bitpropulsehub.com","Phishingarmy URL",""
"2024-10-30T13:05:30.017Z","Domain-Name","phishing","TLP:CLEAR","basqaqazaq.com","2024-10-30T13:05:30.111Z","basqaqazaq.com","Phishingarmy URL",""
"2024-10-30T13:05:30.820Z","Domain-Name","phishing","TLP:CLEAR","blog.solarblinds.ca","2024-10-30T13:05:30.855Z","blog.solarblinds.ca","Phishingarmy URL",""
"2024-10-30T13:05:30.837Z","Domain-Name","phishing","TLP:CLEAR","blogbuy123.com","2024-10-30T13:05:30.927Z","blogbuy123.com","Phishingarmy URL",""
"2024-10-30T13:05:30.837Z","Domain-Name","phishing","TLP:CLEAR","bly5yyl.top","2024-10-30T13:05:30.901Z","bly5yyl.top","Phishingarmy URL",""
"2024-10-30T13:05:32.229Z","Domain-Name","phishing","TLP:CLEAR","boisdestock.com","2024-10-30T13:05:32.296Z","boisdestock.com","Phishingarmy URL",""
"2024-10-30T13:05:32.235Z","Domain-Name","phishing","TLP:CLEAR","boduoudsapd.top","2024-10-30T13:05:32.297Z","boduoudsapd.top","Phishingarmy URL",""
"2024-10-30T13:05:32.236Z","Domain-Name","phishing","TLP:CLEAR","boduoudsaps.top","2024-10-30T13:05:32.359Z","boduoudsaps.top","Phishingarmy URL",""
"2024-10-30T13:05:33.437Z","Domain-Name","phishing","TLP:CLEAR","bos805slot.com","2024-10-30T13:05:33.685Z","bos805slot.com","Phishingarmy URL",""
"2024-10-30T13:05:33.658Z","Domain-Name","phishing","TLP:CLEAR","britishlocomotiveworks.co.uk","2024-10-30T13:05:33.691Z","britishlocomotiveworks.co.uk","Phishingarmy URL",""
"2024-10-30T13:05:33.682Z","Domain-Name","phishing","TLP:CLEAR","britishlocoworks.org","2024-10-30T13:05:33.747Z","britishlocoworks.org","Phishingarmy URL",""
"2024-10-30T13:05:35.082Z","Domain-Name","phishing","TLP:CLEAR","bukit777cair.com","2024-10-30T13:05:35.220Z","bukit777cair.com","Phishingarmy URL",""
"2024-10-30T13:05:35.390Z","Domain-Name","phishing","TLP:CLEAR","buttersocial.com","2024-10-30T13:05:35.601Z","buttersocial.com","Phishingarmy URL",""
"2024-10-30T13:05:35.390Z","Domain-Name","phishing","TLP:CLEAR","cambonesia.com","2024-10-30T13:05:35.600Z","cambonesia.com","Phishingarmy URL",""
"2024-10-30T13:05:36.049Z","Domain-Name","phishing","TLP:CLEAR","canada.post-postcecanadaca.cc","2024-10-30T13:05:36.068Z","canada.post-postcecanadaca.cc","Phishingarmy URL",""
"2024-10-30T13:05:36.562Z","Domain-Name","phishing","TLP:CLEAR","canada.post-postcscanadaca.cc","2024-10-30T13:05:36.670Z","canada.post-postcscanadaca.cc","Phishingarmy URL",""
"2024-10-30T13:05:36.739Z","Domain-Name","phishing","TLP:CLEAR","canada.post-postescanadacaea.cc","2024-10-30T13:05:36.811Z","canada.post-postescanadacaea.cc","Phishingarmy URL",""
"2024-10-30T13:05:37.574Z","Domain-Name","phishing","TLP:CLEAR","canada.post-postescanadacaes.cc","2024-10-30T13:05:37.646Z","canada.post-postescanadacaes.cc","Phishingarmy URL",""
"2024-10-30T13:05:37.588Z","Domain-Name","phishing","TLP:CLEAR","canada.post-postescanadacalz.top","2024-10-30T13:05:37.829Z","canada.post-postescanadacalz.top","Phishingarmy URL",""
"2024-10-30T13:05:38.077Z","Domain-Name","phishing","TLP:CLEAR","canada.post-posteucanadaca.cc","2024-10-30T13:05:38.153Z","canada.post-posteucanadaca.cc","Phishingarmy URL",""
"2024-10-30T13:05:38.174Z","Domain-Name","phishing","TLP:CLEAR","canada.post-postezcanadaca.cc","2024-10-30T13:05:38.230Z","canada.post-postezcanadaca.cc","Phishingarmy URL",""
